"","GeoFIPS","GeoName","at_risk_SNAP_WIC_TANF_ACA","at_risk_SNAP_WIC_TANF","at_risk_SNAP_WIC_TANF_ACA_share","at_risk_SNAP_WIC_TANF_share","SNAP_inc_share","transfers_all_pce","transfers_snap_pce","personal_income_pce","population_2022","USDA_pop_on_snap","USDA_pop_share_snap","ACS_hh_on_snap","households","ACS_hh_share_on_snap","Typology","2024 margin","2024 Trump votes","2024 total votes","2024 Winner","trump_share","population_2024","state"
"1","01001","Autauga, AL",71797000,49229000,2.43251438648441,1.66790047957771,0.82827526507214,678724000,24447000,2951555000,59726,7997,13.0108681504621,1974,22523,8.76437419526706,"Rural Deep South",46.7177595530566,20484,28281,"Trump",72.430253527103,61464,"01"
"2","01003","Baldwin, AL",268720000,147298000,1.92155820693849,1.05329592425434,0.47094336837884,3039989000,65859000,13984484000,246531,21801,8.33346075043577,6480,94642,6.84685446207815,"Other rural",58.6952920518172,95798,122249,"Trump",78.363013194382,261608,"01"
"3","01005","Barbour, AL",42587000,34925000,4.24985180853463,3.48524372256961,1.85224362876491,372337000,18561000,1002082000,24700,5725,23.5035717218162,2013,9080,22.1696035242291,"Rural Deep South",14.8299877099549,5606,9855,"Trump",56.884830035515,24358,"01"
"4","01007","Bibb, AL",29263000,21438000,3.54496348189722,2.59703130659579,1.26944169520558,276298000,10479000,825481000,21986,3200,14.3768532662414,1535,7571,20.2747325320301,"Appalachia + Ozarks",64.7698835817648,7572,9257,"Trump",81.7975586042995,22258,"01"
"5","01009","Blount, AL",74959000,46738000,2.87936063205421,1.79532220575181,0.764561880766913,660124000,19904000,2603321000,59516,6580,10.9369546066519,2706,21977,12.3128725485735,"Appalachia + Ozarks",81.5538847117794,25354,28163,"Trump",90.025920534034,60163,"01"
"6","01011","Bullock, AL",20010000,16875000,6.24769731295937,5.26886017772061,2.56214913294076,124465000,8206000,320278000,10143,2450,24.7449752550247,1137,3453,32.9278887923545,"Rural Deep South",-46.0822722820764,1101,4111,"Harris",26.7818049136463,9901,"01"
"7","01013","Butler, AL",38265000,29417000,4.37325781134818,3.3620312305352,1.7439315547723,286448000,15259000,874977000,18668,4817,26.3858457493427,1189,7262,16.3729000275406,"Rural Deep South",22.8066009735249,5172,8480,"Trump",60.9905660377358,18256,"01"
"8","01015","Calhoun, AL",166237000,123527000,3.3754952974912,2.5082551273976,1.33879059084011,1595146000,65933000,4924818000,115780,20115,17.2769203019918,7764,45125,17.205540166205,"Rural Deep South",45.1461356171787,34912,48653,"Trump",71.7571372782768,116427,"01"
"9","01017","Chambers, AL",55694000,42279000,4.20271175799431,3.19040561669554,1.58482695337732,485106000,21002000,1325192000,34164,6239,18.4514831573655,2300,13419,17.1398762948059,"Rural Deep South",23.420232360442,8711,14245,"Trump",61.1512811512812,33813,"01"
"10","01019","Cherokee, AL",35014000,22411000,3.08320080870841,1.97342815228092,0.93797495328617,374243000,10652000,1135638000,25353,3580,13.6965337822328,1200,10477,11.4536603989692,"Appalachia + Ozarks",75.9429943459066,11358,13006,"Trump",87.328925111487,26138,"01"
"11","01021","Chilton, AL",66522000,48232000,3.43297361819483,2.48908907658779,1.27679865740294,569119000,24741000,1937737000,45848,7516,15.9028394904998,2434,17554,13.8657855759371,"Appalachia + Ozarks",72.4946477724539,16920,19763,"Trump",85.6145322066488,47262,"01"
"12","01023","Choctaw, AL",22030000,16279000,3.81361580287605,2.81805953949248,1.59607524750418,210298000,9220000,577667000,12431,2954,24.510454696316,861,5174,16.6408967916506,"Rural Deep South",23.995164702327,4103,6656,"Trump",61.6436298076923,12052,"01"
"13","01025","Clarke, AL",43821000,32245000,4.30800235941801,3.1699764058199,1.71411718442784,360680000,17436000,1017200000,22574,5551,25.0700027097823,1902,8452,22.5035494557501,"Rural Deep South",17.1375714766229,6965,11958,"Trump",58.2455260076936,22142,"01"
"14","01027","Clay, AL",17928000,12714000,3.16659042215907,2.24565097207331,0.946020654902051,189821000,5356000,566161000,14183,1982,13.9195168200014,818,5765,14.1890719861232,"Appalachia + Ozarks",70.4771815073584,5734,6767,"Trump",84.7347421309295,14239,"01"
"15","01029","Cleburne, AL",22206000,15521000,3.27121665218096,2.2864340114609,1.24714582443322,191805000,8466000,678830000,15372,2702,16.9883684375982,888,5849,15.1820824072491,"Appalachia + Ozarks",84.0642697221125,6988,7651,"Trump",91.334466082865,15905,"01"
"16","01031","Coffee, AL",68698000,50698000,2.47095642465576,1.8235254129261,0.924711326697645,727196000,25709000,2780219000,54840,7733,13.7212108307605,2562,20860,12.2818791946309,"Other rural",58.354453294714,17495,22319,"Trump",78.3861284107711,56358,"01"
"17","01033","Colbert, AL",72207000,49009000,2.82389298092063,1.91665864946527,0.917246056123538,772553000,23454000,2557002000,57993,7508,12.7719656374926,3841,24217,15.8607589709708,"Appalachia + Ozarks",46.8399687162489,19714,27160,"Trump",72.5846833578792,58785,"01"
"18","01035","Conecuh, AL",21226000,16559000,4.69133674143719,3.65984382839247,1.90363155347209,195238000,8613000,452451000,11224,2632,23.6925015752993,771,4528,17.0273851590106,"Rural Deep South",14.0429785107446,3423,6051,"Trump",56.5691621219633,11109,"01"
